Area,Name,Quantity,List Price,Product Type,Width,Width 2,Height,Mounting,Fabric,Top Treatment,Flap,Technology,Operator,Operator Side,Bracket,Hembar,Fabric Face,Fabric Drop,Railroading,Custom Seam,Batten,Single Split,Side Channel,Sill Angle,Light Gap Type,Width Type,Tube,Coupler Type,Is Replacement,Top Treatment Details,Hanger,Metal Color
Living Room 1,LR-001w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-002w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-003w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-004w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-005w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-201w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-202w,1,2281.98,Roller,119.125,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-203w,1,3115.42,Roller,129.625,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-204w,1,3115.42,Roller,129.625,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Living Room 1,LR-205w,1,2136.45,Roller,98.625,,120,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Guest 1,G1-007d,1,2246.79,Roller,119,,112,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Guest 1,G1-006w,1,1489.88,Roller,71.25,,22,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Den,DN-008d,1,2246.79,Roller,119,,112,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Guest 2,G2-010w,1,1489.88,Roller,71.25,,22,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Guest 2,G2-009d,1,2246.79,Roller,119,,112,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Kitchen,KT-011w,1,1661.13,Roller,77.75,,56.5,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Kitchen,KT-012w,1,1661.13,Roller,77.75,,56.5,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Kitchen,KT-013d,1,2246.23,Roller,118.875,,112,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Kitchen,KT-014d,1,2246.23,Roller,118.875,,112,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Guest 3,G3-206w,1,1489.88,Roller,71.25,,22,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Guest 3,G3-207d,1,2246.79,Roller,119,,112,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Game Room,GM-208d,1,2246.23,Roller,118.875,,112,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Guest 4,G4-210w,1,1489.88,Roller,71.25,,22,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Guest 4,G4-209d,1,2246.23,Roller,118.875,,112,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Primary Bath,PB-211w,1,1455.16,Roller,53.25,,59,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Primary Suite,PS-212w,1,1347.89,Roller,41.25,,59,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Primary Suite,PS-213w,1,1347.89,Roller,41.25,,59,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Primary Suite,PS-214d,1,2246.23,Roller,118.875,,112,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Primary Suite,PS-215d,1,2246.23,Roller,118.875,,112,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Primary Suite,PS-216w******,1,1479.41,Roller,30.375,,113,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal
Primary Suite,PS-217w******,1,1479.41,Roller,30.375,,113,Outside,SP12-27-1,Pocket,Pick Automatically,Sivoia QS Wired,Roller 100,TBD,4.75 x 5 in Pocket,Pick Automatically,Fabric Face Away From Glass (Standard),Regular,Pick Automatically,No,Pick Automatically,,None,None,Minimum,Bracket-to-Bracket,Pick Automatically,,No,Pick Automatically,Integrated Hanger,White Metal